accuracy,precision,recall,f1,roc_auc,mcc,dataset,algorithm,seed
0.9244135534317984,0.892933618843683,0.9185022026431718,0.9055374592833876,0.9729520474784951,0.8427938036576569,Spambase,Logistic Regression,42
0.9296264118158123,0.8976545842217484,0.9273127753303965,0.9122426868905742,0.9787098894570185,0.85384451221796,Spambase,Logistic Regression,7
0.9278887923544744,0.8921775898520085,0.9295154185022027,0.9104638619201726,0.9744436508889576,0.8506433391280582,Spambase,Logistic Regression,123
0.9357080799304952,0.8991596638655462,0.9427312775330396,0.9204301075268817,0.9751009676461108,0.8672277220504931,Spambase,Logistic Regression,2024
0.9174630755864466,0.8843683083511777,0.9096916299559471,0.8968512486427795,0.9643911287519198,0.8283126051010664,Spambase,Logistic Regression,99
0.9009556907037359,0.8744493392070485,0.8744493392070485,0.8744493392070485,0.8938686251335175,0.7926702861224,Spambase,Decision Tree,42
0.9226759339704604,0.8891257995735607,0.9185022026431718,0.9035752979414952,0.9225772505198491,0.8393730508096827,Spambase,Decision Tree,7
0.9061685490877498,0.8604166666666667,0.9096916299559471,0.8843683083511777,0.9087514773826151,0.8064081222519736,Spambase,Decision Tree,123
0.9122502172024327,0.8731501057082452,0.9096916299559471,0.8910463861920173,0.9222011894905163,0.8181250191412417,Spambase,Decision Tree,2024
0.9165942658557776,0.8857758620689655,0.9052863436123348,0.8954248366013072,0.9285310234548316,0.8262099707597559,Spambase,Decision Tree,99
0.9374456993918332,0.9483568075117371,0.8898678414096917,0.9181818181818182,0.9821544820786379,0.8687836662845155,Spambase,Random Forest,42
0.9530842745438749,0.9545454545454546,0.9251101321585903,0.9395973154362416,0.9864207206466986,0.9015558680724978,Spambase,Random Forest,7
0.9391833188531712,0.9444444444444444,0.8986784140969163,0.9209932279909706,0.9815714294743362,0.8723182069988863,Spambase,Random Forest,123
0.9530842745438749,0.95662100456621,0.9229074889867841,0.9394618834080718,0.9856527977044477,0.9015706414838792,Spambase,Random Forest,2024
0.9374456993918332,0.9400921658986175,0.8986784140969163,0.918918918918919,0.9806913202586289,0.8686253161496889,Spambase,Random Forest,99
0.9513466550825369,0.9481981981981982,0.9273127753303965,0.9376391982182628,0.9864744436508889,0.8979109234821953,Spambase,Gradient Boosting,42
0.9548218940052129,0.9568181818181818,0.9273127753303965,0.941834451901566,0.9892822606640163,0.9052140884918429,Spambase,Gradient Boosting,7
0.945264986967854,0.9413092550790068,0.9185022026431718,0.9297658862876255,0.9833537691427704,0.885115720052608,Spambase,Gradient Boosting,123
0.9556907037358818,0.952808988764045,0.933920704845815,0.9432703003337041,0.9871444011149104,0.9070479590718364,Spambase,Gradient Boosting,2024
0.9409209383145091,0.9346846846846847,0.9140969162995595,0.9242761692650334,0.9840000252814137,0.8759989715481751,Spambase,Gradient Boosting,99
0.9339704604691572,0.9237668161434978,0.9074889867841409,0.9155555555555556,0.9744183694752211,0.8614460598497077,Spambase,SVM (RBF),42
0.9417897480451781,0.9290465631929047,0.9229074889867841,0.9259668508287293,0.9811527060593228,0.8780209040546485,Spambase,SVM (RBF),7
0.9383145091225021,0.9208791208791208,0.9229074889867841,0.9218921892189219,0.977461619653771,0.87092459901735,Spambase,SVM (RBF),123
0.9391833188531712,0.9210526315789473,0.9251101321585903,0.9230769230769231,0.9777523559117427,0.8727957333395483,Spambase,SVM (RBF),2024
0.9218071242397915,0.9080717488789237,0.8920704845814978,0.9,0.9702785379758436,0.8359033446926053,Spambase,SVM (RBF),99
